"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_real_CivHatchbackDoors_RearLeft0","Volkswagen Golf II Rear Left Door","Volkswagen Golf II Rear Left Door","Levé zadní dveře Volkswagen Golf II","Volkswagen Golf II Tür hinten links","Задняя левая дверь Volkswagen Golf II","Tylne lewe drzwi od Volkswagen Golf II","Volkswagen Golf II Rear Left Door","Portiera posteriore sinistra Volkswagen Golf II","Puerta izquierda trasera de Volkswagen Golf II","Portière ARG de Volkswagen Golf II","Volkswagen Golf II 左後門","Volkswagen Golf II 左後ろのドア","Porta traseira esquerda Volkswagen Golf II","Volkswagen Golf II 左后车门",
"STR_real_CivHatchbackDoors_RearLeft1","Rear left door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","Rear left door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","Levé zadní dveře hatchbacku Volkswagen Golf II. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Hintertür der Volkswagen Golf II-Kombilimousine. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя левая дверь хэтчбека Volkswagen Golf II. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od hatchbacka Volkswagen Golf II. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore sinistra della due volumi Volkswagen Golf II. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera de Volkswagen Golf II. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour la berline à hayon Volkswagen Golf II. Permet de protéger le passager arrière à gauche.","Volkswagen Golf II 掀背車的左後門。使後座乘客安全的坐在車內。","Volkswagen Golf II ハッチバックの左後ろのドア。後部席の人も安全に乗れる。","Porta traseira esquerda do Volkswagen Golf II. Mantém o passageiro no banco de trás seguro dentro do veículo.","Volkswagen Golf II 掀背车的左后车门。可确保车内后座位上乘客的安全。",
"STR_real_CivHatchbackDoors_RearRight0","Volkswagen Golf II Rear Right Door","Volkswagen Golf II Rear Right Door","Pravé zadní dveře Volkswagen Golf II","Volkswagen Golf II Tür hinten rechts","Задняя правая дверь Volkswagen Golf II","Tylne prawe drzwi od Volkswagen Golf II","Volkswagen Golf II Rear Right Door","Portiera posteriore destra Volkswagen Golf II","Puerta derecha trasera de Volkswagen Golf II","Portière ARD de Volkswagen Golf II","Volkswagen Golf II 右後門","Volkswagen Golf II 右後ろのドア","Porta traseira direita Volkswagen Golf II","Volkswagen Golf II 右后车门",
"STR_real_CivHatchbackDoors_RearRight1","Rear right door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","Rear right door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","Pravé zadní dveře hatchbacku Volkswagen Golf II. Zajišťují bezpečnost cestujícího uvnitř auta.","Rechte Hintertür der Volkswagen Golf II-Kombilimousine. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя правая дверь хэтчбека Volkswagen Golf II. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od hatchbacka Volkswagen Golf II. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore destra della due volumi Volkswagen Golf II. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera del Volkswagen Golf II. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour la berline à hayon Volkswagen Golf II. Permet de protéger le passager arrière à droite.","Volkswagen Golf II 掀背車的右後門。使後座乘客安全的坐在車內。","Volkswagen Golf II ハッチバックの右後ろのドア。後部席の人も安全に乗れる。","Porta traseira direita do Volkswagen Golf II. Mantém o passageiro no banco de trás seguro dentro do veículo.","Volkswagen Golf II 掀背车的右后车门。可确保车内后座位上乘客的安全。",
"STR_real_CivHatchbackDoors_Hood0","Volkswagen Golf II Hood","Volkswagen Golf II Hood","Kapota Volkswagen Golf II","Volkswagen Golf II Motorhaube","Капот Volkswagen Golf II","Maska od Volkswagen Golf II","Volkswagen Golf II Hood","Cofano Volkswagen Golf II","Capó de Volkswagen Golf II","Capot de Volkswagen Golf II","Volkswagen Golf II 引擎蓋","Volkswagen Golf II ボンネット","Capô Volkswagen Golf II","Volkswagen Golf II 引擎盖",
"STR_real_CivHatchbackDoors_Hood1","Hood of the Volkswagen Golf II hatchback. Helps protect the engine and other sensitive car parts.","Hood of the Volkswagen Golf II hatchback. Helps protect the engine and other sensitive car parts.","Kapota hatchbacku Volkswagen Golf II. Chrání motor a další citlivé součásti auta.","Motorhaube der Volkswagen Golf II-Kombilimousine. Schützt den Motor und andere empfindliche Wagenteile.","Капот хэтчбека Volkswagen Golf II. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od hatchbacka Volkswagen Golf II. Chroni silnik i inne delikatne części samochodu.","Hood of the Volkswagen Golf II hatchback. Helps protect the engine and other sensitive car parts.","Il cofano della due volumi Volkswagen Golf II. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó de Volkswagen Golf II. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour la berline à hayon Volkswagen Golf II. Protège le moteur et les pièces essentielles du véhicule.","Volkswagen Golf II 掀背車的引擎蓋。保護引擎與其他脆弱零件。","Volkswagen Golf II ハッチバックのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Capô do hatchback Volkswagen Golf II. Ajuda a proteger o motor e outras peças sensíveis do carro.","Volkswagen Golf II 掀背车的引擎盖。可帮助保护发动机和其他易损汽车部件。",
"STR_real_CivHatchbackDoors_Trunk0","Volkswagen Golf II Trunk Door","Volkswagen Golf II Trunk Door","Dveře od kufru Volkswagen Golf II","Volkswagen Golf II-Hecktür","Дверь багажника Volkswagen Golf II","Klapa bagażnika od Volkswagen Golf II","Volkswagen Golf II Trunk Door","Portellone posteriore Volkswagen Golf II","Puerta del maletero de Volkswagen Golf II","Coffre de Volkswagen Golf II","Volkswagen Golf II 車廂門","Volkswagen Golf II トランクドア","Tampa de porta-malas Volkswagen Golf II","Volkswagen Golf II 后备箱门",
"STR_real_CivHatchbackDoors_Trunk1","Trunk door of the Volkswagen Golf II hatchback. Used for keeping trunk contents closed.","Trunk door of the Volkswagen Golf II hatchback. Used for keeping trunk contents closed.","Dveře od kufru hatchbacku Volkswagen Golf II. Slouží k uzavření nákladu v kufru.","Hecktür der Volkswagen Golf II-Kombilimousine. Schützt den Inhalt des Kofferraums.","Дверь багажника хэтчбека Volkswagen Golf II. Не дает содержимому багажника выпасть.","Klapa bagażnika od hatchbacka Volkswagen Golf II. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk door of the Volkswagen Golf II hatchback. Used for keeping trunk contents closed.","Il portellone posteriore della due volumi Volkswagen Golf II. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero del Volkswagen Golf II. Evita que las cosas se caigan del maletero.","Un hayon pour Volkswagen Golf II. Permet de fermer le coffre et d'en protéger le contenu.","Volkswagen Golf II 掀背車的車廂門。鎖住車廂內的物品。","Volkswagen Golf II ハッチバックのトランクのドア。トランクに入れた物が飛び出さないように使用される。","Tampa de porta-malas do Volkswagen Golf II. Usada para manter o conteúdo do porta-malas fechado.","Volkswagen Golf II 掀背车的后备箱门。用于关住后备箱中的东西。",
"STR_real_Sedan_020","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120 セダン","Škoda 120","Škoda 120",
"STR_real_Sedan_02_Wheel0","Škoda 120 Wheel","Škoda 120 Wheel","Kolo Škoda 120","Škoda 120-Reifen","Колесо Škoda 120","Koło od Škoda 120","Škoda 120 Wheel","Ruota Škoda 120","Rueda de Škoda 120","Roue de Škoda 120","Škoda 120 車輪","Škoda 120 セダン 車輪","Roda Škoda 120","Škoda 120 车轮",
"STR_real_Sedan_02_Wheel1","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Kolo vozidla Škoda 120. Vzorek pneumatiky se příliš nehodí do terénu.","Reifen für den Škoda 120. Das Profil ist nicht auf Offroad-Performance ausgelegt.","Колесо Škoda 120. Рисунок протектора не предназначен для езды по бездорожью.","Koło od Škoda 120. Bieżnik opony nie jest przystosowany do jazdy terenowej.","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Una ruota della Škoda 120. Pneumatico con battistrada non proprio concepito per prestazioni fuoristrada.","Rueda de Škoda 120. El patrón de las ruedas no está diseñado para ser todoterreno.","Roue de Škoda 120. Le dessin du pneu n'est pas vraiment conçu pour une utilisation tout-terrain.","Škoda 120 的車輪。輪胎圖案設計並不適合越野行駛。","Škoda 120 セダンの車輪。オフロードでの仕様には適していない。","Roda do Škoda 120. O padrão dos pneus não foi projetado para off-road.","Škoda 120 的车轮。轮胎花纹设计并不适合越野行驶。",
"STR_real_Sedan_02_Door_1_10","Škoda 120 Front Left Door","Škoda 120 Front Left Door","Levé přední dveře Škoda 120","Škoda 120 Tür vorne links","Передняя левая дверь Škoda 120","Przednie lewe drzwi od Škoda 120","Škoda 120 Front Left Door","Portiera anteriore sinistra Škoda 120","Puerta izquierda delantera de Škoda 120","Portière AVG de Škoda 120","Škoda 120 左前門","Škoda 120 セダン 左前のドア","Porta dianteira esquerda Škoda 120","Škoda 120 左前车门",
"STR_real_Sedan_02_Door_1_11","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","Levé přední dveře vozidla Škoda 120. Chrání řidiče uvnitř vozu.","Linke Vordertür des Škoda 120. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь Škoda 120. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od Škoda 120. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","La portiera anteriore sinistra della Škoda 120. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del Škoda 120. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour la Škoda 120. Protège le conducteur.","Škoda 120 的左前門，保持駕駛員在車內的安全。","Škoda 120 セダンの左前のドア。運転席の人も安全に乗れる。","Porta dianteira esquerda do Škoda 120 que mantém o motorista seguro dentro do veículo.","Škoda 120 左前车门，可确保车内驾驶员的安全。",
"STR_real_Sedan_02_Door_2_10","Škoda 120 Front Right Door","Škoda 120 Front Right Door","Pravé přední dveře Škoda 120","Škoda 120 Tür vorne rechts","Передняя правая дверь Škoda 120","Przednie prawe drzwi od Škoda 120","Škoda 120 Front Right Door","Portiera anteriore destra Škoda 120","Puerta derecha delantera de Škoda 120","Portière AVD de Škoda 120","Škoda 120 右前門","Škoda 120 セダン 右前のドア","Porta dianteira direita Škoda 120","Škoda 120 右前车门",
"STR_real_Sedan_02_Door_2_11","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","Pravé přední dveře vozidla Škoda 120. Chrání spolujezdce vepředu.","Rechte Vordertür des Škoda 120. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь Škoda 120. Обеспечивает безопасность пассажира внутри автомобиля.","Przednie prawe drzwi od Škoda 120. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","La portiera anteriore destra della Škoda 120. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera del Škoda 120. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour la Škoda 120. Protège le passager avant.","Škoda 120 的右前門，保持副駕駛在車內的安全。","Škoda 120 セダンの右前のドア。助手席の人も安全に乗れる。","Porta direita do Škoda 120, mantém o copiloto seguro dentro do veículo.","Škoda 120 右前车门，可确保车内驾驶员的安全。",
"STR_real_Sedan_02_Door_1_20","Škoda 120 Rear Left Door","Škoda 120 Rear Left Door","Levé zadní dveře Škoda 120","Škoda 120 Tür hinten links","Задняя левая дверь Škoda 120","Tylne lewe drzwi od Škoda 120","Škoda 120 Rear Left Door","Portiera posteriore sinistra Škoda 120","Puerta izquierda trasera de Škoda 120","Portière ARG de Škoda 120","Škoda 120 左後門","Škoda 120 セダン 左後ろのドア","Porta traseira esquerda Škoda 120","Škoda 120 左后车门",
"STR_real_Sedan_02_Door_1_21","Rear left door of the Škoda 120 that keeps the passenger in back seat safe inside the vehicle.","Rear left door of the Škoda 120 that keeps the passenger in back seat safe inside the vehicle.","Levé zadní dveře vozidla Škoda 120. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Linke Hintertür des Škoda 120. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя левая дверь Škoda 120. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od Škoda 120. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the Škoda 120 that keeps the passenger in back seat safe inside the vehicle.","La portiera posteriore sinistra della Škoda 120. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera del Škoda 120. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour la Škoda 120. Protège le passager arrière gauche.","Škoda 120 的左後門，使後座乘客安全的坐在車內。","Škoda 120 セダン セダンの左後ろのドア。後部席の人も安全に乗れる。","Porta traseira esquerda do Škoda 120, mantém o passageiro no banco de trás seguro dentro do veículo.","Škoda 120 左后车门，可确保车内后座乘客的安全。",
"STR_real_Sedan_02_Door_2_20","Škoda 120 Rear Right Door","Škoda 120 Rear Right Door","Pravé zadní dveře Škoda 120","Škoda 120 Tür hinten rechts","Задняя правая дверь Škoda 120","Tylne prawe drzwi od Škoda 120","Škoda 120 Rear Right Door","Portiera posteriore destra Škoda 120","Puerta derecha trasera de Škoda 120","Portière ARD de Škoda 120","Škoda 120 右後門","Škoda 120 セダン 右後ろのドア","Porta traseira direita Škoda 120","Škoda 120 右后车门",
"STR_real_Sedan_02_Door_2_21","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","Pravé zadní dveře vozidla Škoda 120. Zajišťují bezpečnost cestujícího uvnitř auta.","Rechte Hintertür des Škoda 120. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя правая дверь Škoda 120. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od Škoda 120. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore destra della Škoda 120. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera del Škoda 120. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour la Škoda 120. Protège le passager arrière droit.","Škoda 120 的右後門。使後座乘客安全的坐在車內。","Škoda 120 セダンの右後ろのドア。後部席の人も安全に乗れる。","Porta traseira direita do Škoda 120. Mantém o passageiro no banco de trás seguro dentro do veículo.","Škoda 120 的右后车门。可确保车内后座位上乘客的安全。",
"STR_real_Sedan_02_Hood0","Škoda 120 Hood","Škoda 120 Hood","Kapota Škoda 120","Škoda 120 Motorhaube","Капот Škoda 120","Maska od Škoda 120","Škoda 120 Hood","Cofano Škoda 120","Capó de Škoda 120","Capot de Škoda 120","Škoda 120 引擎蓋","Škoda 120 セダン ボンネット","Capô Škoda 120","Škoda 120 引擎盖",
"STR_real_Sedan_02_Hood1","Hood of the Škoda 120. Used for keeping hood contents safe.","Hood of the Škoda 120. Used for keeping hood contents safe.","Kapota vozidla Škoda 120. Používá se k zabezpečení součástek pod kapotou.","Motorhaube für den Škoda 120. Schützt, was unter der Motorhaube aufbewahrt wird.","Капот Škoda 120. Обеспечивает безопасность содержимого капота.","Maska od Škoda 120. Chroni znajdującą się pod nią zawartość.","Hood of the Škoda 120. Used for keeping hood contents safe.","Il cofano della Škoda 120. Utilizzato per mantenere al sicuro il contenuto protetto dal portello.","Capó del Škoda 120. Se usa para mantener a salvo lo que haya bajo el capó.","Capot de Škoda 120. Protège le contenu du coffre contre les intempéries.","Škoda 120 引擎蓋。適用於確保引擎蓋內物品的安全。","Škoda 120 セダンのボンネット。ボンネット内の物を保護してくれる。","Capô do Škoda 120. Usado para manter o conteúdo do capô seguro.","Škoda 120 的引擎盖。用于确保引擎盖内物品的安全。",
"STR_real_Sedan_02_Trunk0","Škoda 120 Trunk Door","Škoda 120 Trunk Door","Dveře od kufru Škoda 120","Škoda 120 Hecktür","Дверь багажника Škoda 120","Klapa bagażnika od Škoda 120","Škoda 120 Trunk Door","Portellone posteriore Škoda 120","Puerta del maletero de Škoda 120","Hayon de Škoda 120","Škoda 120 車廂門","Škoda 120 セダン トランクドア","Tampa porta-malas Škoda 120","Škoda 120 后备箱门",
"STR_real_Sedan_02_Trunk1","Trunk door of the Škoda 120 that helps to protect the engine and other sensitive car parts.","Trunk door of the Škoda 120 that helps to protect the engine and other sensitive car parts.","Dveře od kufru vozidla Škoda 120. Chrání motor a další citlivé části auta.","Hecktür des Škoda 120. Schützt den Motor und andere empfindliche Wagenteile.","Дверь багажника Škoda 120. Помогает защитить двигатель и другие важные детали автомобиля.","Klapa bagażnika od Škoda 120 chroniąca silnik i inne delikatne części samochodu.","Trunk door of the Škoda 120 that helps to protect the engine and other sensitive car parts.","Il portellone posteriore della Škoda 120. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Puerta del maletero del Škoda 120. Ayuda a proteger el motor y otras partes importantes del coche.","Un hayon de Škoda 120. Protège le moteur et les pièces essentielles du véhicule.","Škoda 120 的車廂門，保護引擎與其他脆弱零件。","Škoda 120 セダンのトランクのドア。エンジンやその他の繊細な車のパーツを保護してくれる。","Tampa de porta-malas do Škoda 120 que ajuda a proteger o motor e outras peças sensíveis do carro.","Škoda 120 的后备箱门，可帮助保护发动机和其他易损汽车部件。",
"STR_real_V3S_Covered0","Praga V3S Covered","Praga V3S Covered","Praga V3S krytá","Praga V3S mit Abdeckung","Крытый Praga V3S","Praga V3S z naczepą","Praga V3S Covered","Praga V3S coperto","Praga V3S cubierta","Praga V3S bâché","Praga V3S（帶雨蓬）","Praga V3S カバー付き","Praga V3S coberto","帶雨蓬的 Praga V3S",
"STR_real_V3SWheel0","Praga V3S Wheel","Praga V3S Wheel","Kolo Praga V3S","Praga V3S-Reifen","Колесо Praga V3S","Koło od Praga V3S","Praga V3S Wheel","Ruota Praga V3S","Rueda de Praga V3S","Roue de Praga V3S","Praga V3S 輪胎","Praga V3S 車輪","Roda Praga V3S","Praga V3S 车轮",
"STR_real_V3SWheel1","A wheel of the Praga V3S off-road truck. Deep tread and specific profile provide grip in difficult terrains.","A wheel of the Praga V3S off-road truck. Deep tread and specific profile provide grip in difficult terrains.","Kolo terénního náklaďáku Praga V3S. Hluboký vzorek a speciální profil pásů zabraňují prokluzování v náročném terénu.","Ein Reifen für den Praga V3S-Offroad-LKW. Das tiefe Profil sorgt für guten Halt in schwierigem Gelände.","Колесо внедорожника Praga V3S. Глубокий протектор и специальный профиль обеспечивают сцепление на труднопроходимых участках дороги.","Koło ciężarówki terenowej Praga V3S. Głęboki bieżnik i dobry profil zapewniają przyczepność nawet na najgorszych podłożach.","A wheel of the Praga V3S off-road truck. Deep tread and specific profile provide grip in difficult terrains.","Una ruota del camion da fuoristrada Praga V3S. Pneumatico con scanalature profonde e profilo specifico che fornisce l’aderenza necessaria su terreni difficili.","Una rueda de la camioneta todoterreno Praga V3S. Su perfil específico y el neumático acanalado otorgan un buen agarre en terrenos difíciles.","Une roue pour camion tout-terrain Praga V3S. Dispose d'une sculpture et d'un profil spécial pour conserver l'adhérence en terrain accidenté.","Praga V3S 越野卡車的輪胎。深胎紋設計與特殊的胎廓提供了崎嶇地形必要的抓地力。","Praga V3S オフロードトラックの車輪。深い溝を持つトレッドパターンと特殊な形状のお陰で、不整地形でも滑らない。","Uma roda do caminhão off-road Praga V3S. Sulcos profundos e um perfil específico fornecem aderência em terrenos difíceis.","Praga V3S 越野卡车的车轮。深花纹和特定的轮廓可在崎岖的地形中提供良好的抓地力。",
"STR_real_V3SWheelDouble0","Praga V3S Dual Wheel","Praga V3S Dual Wheel","Dvojkolo Praga V3S","Praga V3S-Doppelreifen","Двухскатное колесо Praga V3S","Podwójne koło od Praga V3S","Praga V3S Dual Wheel","Ruota gemellata Praga V3S","Rueda doble de Praga V3S","Roue double de Praga V3S","Praga V3S 雙輪","Praga V3S 複車輪","Roda dupla Praga V3S","Praga V3S 双轮",
"STR_real_V3SWheelDouble1","Dual wheel of the Praga V3S off-road truck. Used to keep heavy loaded truck steady while providing needed grip.","Dual wheel of the Praga V3S off-road truck. Used to keep heavy loaded truck steady while providing needed grip.","Dvojkolo terénního náklaďáku Praga V3S. Pomáhá udržovat stabilitu těžce naloženého vozidla a zabraňuje prokluzování.","Doppelreifen des Praga V3S-Offroad-LKW. Hält den schwer beladenen LKW stabil und bietet guten Halt.","Двухскатное колесо внедорожника Praga V3S. Улучшает управляемость и сцепление загруженного грузовика.","Podwójne koło ciężarówki terenowej Praga V3S. Zapewnia pojazdowi stabilność i odpowiednią przyczepność.","Dual wheel of the Praga V3S off-road truck. Used to keep heavy loaded truck steady while providing needed grip.","Una ruota gemellata del camion da fuoristrada Praga V3S. Utilizzata per mantenere stabile il camion a carico elevato e fornire, allo stesso tempo, l’aderenza necessaria.","Rueda doble de la camioneta todoterreno Praga V3S. Se usa para mantener estable la camioneta a la par que se ofrece agarre.","Une roue double pour camion tout-terrain Praga V3S. Confère maniabilité et adhérence à ce camion même lorsqu'il est chargé.","Praga V3S 越野卡車的雙輪。保持重裝卡車的穩定性，同時提供必要的抓地力。","Praga V3S オフロードトラックの複車輪。重たい荷物を載せているトラックが安定して滑らずに走行できるように使用される。","Roda dupla do caminhão off-road Praga V3S. Usada para manter o caminhão com carga pesada estável ao mesmo tempo que fornece a aderência necessária.","Praga V3S 越野卡车的双轮。用于保持重型卡车稳定，同时提供所需的抓地力。",
"STR_real_V3SDoors_Driver0","Praga V3S Left Door","Praga V3S Left Door","Levé dveře Praga V3S","Praga V3S-Tür links","Левая дверь Praga V3S","Lewe drzwi od Praga V3S","Praga V3S Left Door","Portiera sinistra Praga V3S","Puerta izquierda de Praga V3S","Portière gauche de Praga V3S","Praga V3S 左門","Praga V3S 左のドア","Porta esquerda Praga V3S","Praga V3S 左门",
"STR_real_V3SDoors_Driver1","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","Levé přední dveře terénního náklaďáku Praga V3S. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Vordertür des Praga V3S-Offroad-LKW. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь внедорожника Praga V3S. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od ciężarówki terenowej Praga V3S. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra del camion da fuoristrada Praga V3S. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera de la camioneta todoterreno Praga V3S. Mantiene al piloto a salvo dentro del vehículo.","Une portière avant gauche pour camion tout-terrain Praga V3S. Permet de protéger le conducteur.","Praga V3S 越野卡車的左前門。保持駕駛在車內的安全。","Praga V3S オフロードトラックの左前のドア。運転席の人も安全に乗れる。","Porta dianteira esquerda do caminhão Praga V3S. Mantém o motorista seguro dentro do veículo.","Praga V3S 越野卡车的左前车门。可确保驾驶员在车内的安全。",
"STR_real_V3SDoors_CoDriver0","Praga V3S Right Door","Praga V3S Right Door","Pravé dveře Praga V3S","Praga V3S-Tür rechts","Правая дверь Praga V3S","Prawe drzwi od Praga V3S","Praga V3S Right Door","Portiera destra Praga V3S","Puerta derecha de Praga V3S","Portière droite de Praga V3S","Praga V3S 右門","Praga V3S 右のドア","Porta direita Praga V3S","Praga V3S 右门",
"STR_real_V3SDoors_CoDriver1","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře terénního náklaďáku Praga V3S. Zajišťují bezpečnost spolujezdce uvnitř auta.","Rechte Vordertür des Praga V3S-Offroad-LKW. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь внедорожника Praga V3S. Обеспечивает безопасность пассажира внутри автомобиля.","Przednie prawe drzwi od ciężarówki terenowej Praga V3S. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra del camion da fuoristrada Praga V3S. Mantiene il co-pilota al sicuro all’interno del veicolo.","Puerta derecha delantera de la camioneta todoterreno Praga V3S. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour camion tout-terrain Praga V3S. Permet de protéger le passager.","Praga V3S 越野卡車的右前門。保持副駕駛在車內的安全。","Praga V3S オフロードトラックの右前のドア。助手席の人も安全に乗れる。","Porta dianteira direita do caminhão Praga V3S. Mantém o copiloto seguro dentro do veículo.","Praga V3S 越野卡车的右前车门。可确保副驾驶员在车内的安全。",
"STR_real_V3SHood0","Praga V3S Hood","Praga V3S Hood","Kapota Praga V3S","Praga V3S-Motorhaube","Капот Praga V3S","Maska od Praga V3S","Praga V3S Hood","Cofano Praga V3S","Capó de Praga V3S","Capot de Praga V3S","Praga V3S 引擎蓋","Praga V3S ボンネット","Capô Praga V3S","Praga V3S 引擎罩",
"STR_real_V3SHood1","Hood of the Praga V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.","Hood of the Praga V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.","Kapota terénního náklaďáku Praga V3S. Chrání motor před rozmary počasí nebo nečekanými nárazy.","Motorhaube des Praga V3S-Offroad-LKW. Schützt den Motor vor den Einflüssen der Natur und unerwarteten Einschlägen.","Капот внедорожника Praga V3S. Помогает защитить двигатель от неблагоприятных погодных условий или неожиданного удара.","Maska ciężarówki terenowej Praga V3S. Chroni silnik przed siłami natury i niespodziewanymi uderzeniami.","Hood of the Praga V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.","Il cofano del camion da fuoristrada Praga V3S. Aiuta a proteggere il motore dalle forze della natura o da urti inaspettati.","Capó de la camioneta todoterreno Praga V3S. Ayuda a proteger el motor de las fuerzas de la naturaleza o de impactos inesperados.","Un capot pour camion tout-terrain Praga V3S. Permet de protéger le moteur contre les éléments ou les impacts.","Praga V3S 越野車的引擎蓋。保護引擎免受自然環境影響或出乎意料的撞擊。","Praga V3S オフロードトラックのボンネット。自然の力または予期しない衝撃からエンジンを保護してくれる。","Capô do caminhão off-road Praga V3S. Ajuda a proteger o motor contra forças da natureza ou impactos inesperados.","Praga V3S 越野卡车的引擎盖。可保护发动机，抵御自然力的侵袭或意外撞击。",
"STR_real_Offroad_020","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee","M1025 Humvee",
