"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_cfgWeapons_real_LongHorn0","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender","Thomson/Center Contender",
"STR_cfgWeapons_real_LongHorn1","Single shot break action hunting pistol. The powerful ammunition makes it most suited for big game. Uses .308 WIN rounds.","Single shot break action hunting pistol. The powerful ammunition makes it most suited for big game. Uses .308 WIN rounds.","Jednoranná zlamovací lovecká pistole. Díky silné munici je vhodná k lovu vysoké zvěře. Používá munici .308 WIN.","Einzelschuss-Kipplauf-Jagdpistole. Die großkalibrige Munition ist vor allem für die Großwildjagd gedacht. Nutzt .308-WIN-Munition.","Однозарядный охотничий пистолет с переломным затвором. Мощный боеприпас делает его наиболее подходящим для охоты на крупную дичь. Использует патроны калибра .308 WIN.","Jednostrzałowy, łamany pistolet myśliwski. Potężna amunicja sprawia, że najlepiej nadaje się na dużego zwierza. Strzela amunicją .308 WIN.","Single shot break action hunting pistol. The powerful ammunition makes it most suited for big game. Uses .308 WIN rounds.","Pistola da caccia a canna basculante e colpo singolo, ideale per abbattere la selvaggina di grossa taglia grazie alle sue potenti munizioni calibro .308 WIN.","Pistola de caza de cañón basculante y un solo disparo. Emplea munición de gran calibre, lo que la hace ideal para caza mayor. Usa proyectiles de .308 WIN.","Un pistolet de chasse à tir unique et à chargement entièrement manuel de calibre .308 WIN. Idéal pour le gros gibier.","單發中折式狩獵手槍。彈藥火力強大，適合狩獵大型獵物。使用 .308 WIN 子彈。","単発中折式狩猟用ピストル。強力な弾丸のため、大きな獲物を狩るのに適している。.308 WIN 弾薬を使う。","Pistola de caça de tiro único com ação basculante. Sua munição poderosa faz com que ela seja adequada para caças de grande porte. Usa munições calibre .308 WIN.","单发折管式狩猎手枪；强大的弹药使其最适合猎杀大型猎物；使用 .308 WIN 子弹。",
"STR_cfgWeapons_real_M140","M14","M14","M 14","M14","M14","M14","M14","M14","M14","M14","M14","M14","M14","M14",
"STR_cfgWeapons_real_M141","Semi-automatic rifle, loaded from a detachable magazine. It has a rail that allows for the use of NATO-made scopes. It's suitable for long-range precision, but has a significant kick when shot in quick succession. Uses .308 WIN rounds.","Semi-automatic rifle, loaded from a detachable magazine. It has a rail that allows for the use of NATO-made scopes. It's suitable for long-range precision, but has a significant kick when shot in quick succession. Uses .308 WIN rounds.","Poloautomatická puška s municí v odnímatelném zásobníku. Je opatřena lištou, na kterou je možné připevnit optiky západní provenience. Na dlouhé vzdálenosti je velmi přesná, ale při střelbě v rychlém sledu hodně kope. Používá náboje ráže .308 WIN.","Halbautomatisches Gewehr mit abnehmbarem Magazin. Die verbaute Schiene ermöglicht das Anbringen von Zielfernrohren westlicher Bauart. Es ist geeignet für präzises Feuer auf lange Reichweite, weist bei schnell aufeinanderfolgenden Feuerstößen allerdings einen starken Rückstoß auf. Verschießt .308 WIN-Munition.","Полуавтоматическая винтовка со съемным магазином. Рельсовое крепление позволяет использовать прицелы производства NATO. Отличается высокой точностью на дальних дистанциях, однако имеет ощутимую отдачу при темповой стрельбе. Использует патроны калибра .308 WIN.","Półautomatyczny karabin z magazynkiem zewnętrznym. Posiada szynę umożliwiającą montaż celowników zachodniej produkcji. Zapewnia precyzję z dużej odległości, ale oddawanie strzałów jeden po drugim skutkuje znacznym odrzutem. Korzysta z naboi .308 WIN.","Semi-automatic rifle, loaded from a detachable magazine. It has a rail that allows for the use of Western-made scopes. It's suitable for long-range precision, but has a significant kick when shot in quick succession. Uses .308 WIN rounds.","Fucile semiautomatico con alimentazione mediante caricatore estraibile. È dotato di una scanalatura sulla quale montare mirini di fattura occidentale. Adatto alle operazioni di precisione su lunghe distanze, risulta particolarmente notevole negli spari in successione rapida. Usa munizioni calibro .308 WIN.","Un fusil semiautomático que emplea cargadores desmontables. Lleva una guía para instalar miras de fabricación occidental. Sirve para tiro de precisión a larga distancia, pero tiene bastante retroceso si se hacen varios disparos rápidos. Emplea proyectiles de .308 WIN.","Un fusil semi-automatique avec chargeur amovible de calibre .308 WIN. Il dispose d'un rail accueillant les lunettes des forces de l'Ouest. Idéal pour le tir de précision à longue portée, le recul se fait ressentir lors des tirs successifs.","使用可拆卸式彈匣供彈的半自動步槍，設有導軌，可裝設西式瞄準鏡，適合長距離準確射擊，但快速射擊時後座力大，使用 .308 WIN 子彈。","着脱式マガジンから装填するセミオート式ライフル。西洋製のスコープを取り付けられるレールが付いている｡ 長距離で高い精度が期待できるが、連射する時に大きな反動が発生する。.308 WIN 弾薬を使用する。","Fuzil semiautomático, alimentado por um carregador tipo caixa destacável. Tem um trilho que permite o uso de miras telescópicas ocidentais. Indicado para precisão a longo alcance, mas tem um recuo considerável em disparos consecutivos. Usa munição calibre .308 WIN.","半自动步枪，采用一个可拆卸弹匣供弹，具有导轨，能够安装西方规格的瞄准镜；适合用于远程精确射击，但是在快速连续发射时，具有明显的后坐力；使用 .308 WIN 子弹。",
"STR_cfgWeapons_real_M16A20","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2","M16A2",
"STR_cfgWeapons_real_M16A21","Selective-fire assault rifle, fed from a standardized detachable magazine. Although it lacks support for custom optics, the long barrel and high rate of fire offer remarkable firepower. Uses 5.56x45mm rounds.","Selective-fire assault rifle, fed from a standardized detachable magazine. Although it lacks support for custom optics, the long barrel and high rate of fire offer remarkable firepower. Uses 5.56x45mm rounds.","Útočná puška s možností volby režimu střelby. Sice se k ní nedá připevnit další optika, ale díky dlouhé hlavni a vysoké kadenci má značnou palebnou sílu. Používá standardní odnímatelné zásobníky s municí ráže 5,56x45 mm.","Sturmgewehr mit selektivem Feuer und standardisiertem, abnehmbarem Magazin. Obwohl es nicht durch eigene Visiere erweitert werden kann, überzeugt es durch seinen langen Lauf und hohe Schussfrequenz. Nutzt 5,56x45mm-Munition.","Штурмовая винтовка с переводчиком режимов огня и стандартизированным съемным магазином. Несмотря на отсутствие возможности установки оптики, длинный ствол и высокая скорострельность обеспечивают отличную огневую мощь. Использует патроны калибра 5,56x45 мм.","Karabin szturmowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Mimo braku wsparcia dla niestandardowych przyrządów celowniczych długa lufa i wysoka szybkostrzelność zapewniają mu niezwykłą siłę ognia. Strzela amunicją 5,56x45 mm.","Selective-fire assault rifle, fed from a standardized detachable magazine. Although it lacks support for custom optics, the long barrel and high rate of fire offer remarkable firepower. Uses 5.56x45mm rounds.","Fucile d’assalto con selettore di fuoco e caricatore estraibile standardizzato. Sebbene manchi del supporto per le ottiche personalizzate, la canna lunga e la cadenza di fuoco elevata offrono una potenza sorprendente. Usa munizioni calibro 5.56x45 mm.","Fusil de asalto de fuego selectivo que emplea un cargador estándar desmontable. Aunque no puede llevar ópticas personalizadas, su cañón largo y su gran cadencia de tiro le aportan una potencia de fuego considerable. Usa proyectiles de 5,56x45 mm.","Un fusil d'assaut de calibre 5,56x45 mm avec différents modes de tir et chargeur amovible standardisé. Il compense l'absence de lunette par une grande puissance de feu, grâce à un long canon et à une cadence de tir élevée.","可選射擊模式的突擊步槍，採用可拆卸的標準彈匣供彈。不支援光學瞄具，但長槍管和高射速給予它強勁的火力。使用 5.56x45mm 子彈。","標準化された着脱式マガジンから装填する、セレクティブファイア機能付きアサルトライフル。カスタム光学照準器には対応していないが、長い銃身と高い連射速度でかなりの火力が期待できる。5.56x45mmの弾薬を使用する。","Fuzil de assalto de fogo seletivo, alimentado por um carregador destacável padrão. Apesar de não ter suporte a miras óticas personalizadas, o cano longo e a alta taxa de disparo oferecem bastante poder de fogo. Usa munições calibre 5.56x45mm.","选射突击步枪，使用标准化可拆卸弹匣送弹。虽然缺乏对定制光学瞄具的支持，但长枪管和高射速等特性可提供非常强劲的火力。使用 5.56x45mm 子弹。",
"STR_cfgWeapons_real_M4A10","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1",
"STR_cfgWeapons_real_M4A11","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Útočná puška s možností volby režimu střelby. Munice dodávána standardizovaným odnímatelným zásobníkem, dá se rozsáhle upravit pomocí doplňků. Používá munici 5,56x45 mm.","Sturmgewehr mit selektivem Feuer und standardisiertem, abnehmbarem Magazin. Bietet zahlreiche Anpassungsmöglichkeiten durch Zubehör. Nutzt 5,56x45mm-Munition.","Штурмовая винтовка с переводчиком режимов огня и стандартизированным съемным магазином. Поддерживает установку различных приспособлений. Использует патроны калибра 5,56x45 мм.","Karabin szturmowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Można go łatwo rozbudować o akcesoria. Strzela amunicją 5,56x45 mm.","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Fucile d’assalto con selettore di fuoco e caricatore estraibile standard. Molto personalizzabile grazie agli accessori. Usa munizioni calibro 5.56x45 mm.","Fusil de asalto de fuego selectivo, que se alimenta de un cargador estándar desmontable. Ofrece muchas posibilidades de personalización. Usa proyectiles de 5,56x45 mm.","Un fusil d'assaut de calibre 5,56x45 mm avec différents modes de tir et chargeur amovible standardisé. Entièrement personnalisable grâce aux accessoires.","可選射擊模式的突擊步槍，以可拆卸的標準彈匣供彈。可加裝自訂配件，配件種類眾多。使用 5.56x45mm 子彈。","標準化された取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。アタッチメントでかなりカスタマイズが可能。 5.56x45mm 弾薬を使う。","Fuzil de assalto de fogo seletivo, alimentado por um carregador destacável padrão. Oferece bastante personalização com anexos. Usa munições calibre 5.56x45mm.","从标准化可拆卸弹匣送弹的选射突击步枪。附件可进行多种定制。使用 5.56x45mm 子弹。",
"STR_cfgWeapons_real_Magnum0","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python",
"STR_cfgWeapons_real_Magnum1","Six shot double-action revolver. Compared to pistols, it’s relatively slow to load and requires frequent maintenance. On the plus side, it can deliver exceptional damage at short to medium ranges. Uses .357 rounds.","Six shot double-action revolver. Compared to pistols, it’s relatively slow to load and requires frequent maintenance. On the plus side, it can deliver exceptional damage at short to medium ranges. Uses .357 rounds.","Šestiranný revolver s dvojčinnou spouští. Ve srovnání s pistolemi se relativně pomalu nabíjí a vyžaduje častou údržbu. Výhodou ale je, že dokáže napáchat výjimečné škody na krátké i střední vzdálenosti. Používá munici .357.","Spannabzug-Revolver mit Sechs-Schuss-Trommel. Verglichen mit anderen Pistolen ist er relativ langsam nachzuladen und muss aufwendig gewartet werden. Dafür kann er verheerenden Schaden auf kurze bis mittlere Distanz verursachen. Nutzt .357-Munition.","Шестизарядный револьвер двойного действия. В сравнении с пистолетами довольно медленно заряжается и требует частого обслуживания. Однако может нанести внушительный урон на коротких и средних дистанциях. Использует патроны калибра .357.","Sześciostrzałowy rewolwer z mechanizmem spustowym z samonapinaniem. W porównaniu z pistoletami proces ładowania odbywa się dość powoli, a sam rewolwer wymaga częstej konserwacji. Rekompensuje to zaskakującą siłą rażenia na krótkim i średnim dystansie. Strzela amunicją .357.","Six shot double-action revolver. Compared to pistols, it’s relatively slow to load and requires frequent maintenance. On the plus side, it can deliver exceptional damage at short to medium ranges. Uses .357 rounds.","Rivoltella a doppia azione a sei colpi. In confronto alle pistole, ha un caricamento piuttosto lento e richiede frequente manutenzione, ma infligge danni eccezionali da brevi a medie distanze. Utilizza munizioni calibro .357.","Revólver de doble acción de seis balas. En comparación con las pistolas, se tarda relativamente más en recargarlo y requiere un mantenimiento frecuente. Lo bueno es que puede infligir muchísimo daño a corta y media distancia. Usa proyectiles de .357.","Revolver double action à six coups de calibre .357. Plus lent à recharger et nécessitant plus d'entretien que les petits calibres, il inflige de terribles dégâts à courte et moyenne portée.","六發雙動式左輪手槍。相較於手槍，它速度較慢且需要經常維護。但卻能夠在短至中距離造成大量傷害。使用 .357 彈藥。","6 発複動式リボルバー。ピストルと比べて、装填が比較的遅く、頻繁なメンテナンスが必要になる。ただし、近距離から中距離において大きなダメージを与えることができる。.357 の弾薬を使う。","Revólver de ação dupla de seis tiros. Em comparação com as pistolas, é relativamente lento para carregar e requer manutenção frequente. Mas entre suas vantagens, pode causar danos excepcionais em curtas e médias distâncias. Usa munições calibre .357.","六发双动式左轮手枪。与手枪相比，装弹较慢，且需要经常维护。优点是能对短距离到中等距离目标造成极大的损伤。使用 .357 子弹。",
"STR_cfgWeapons_real_MakarovIJ700","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Макаров IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70","Baikal Makarov IJ70",
"STR_cfgWeapons_real_MakarovIJ701","Semi-automatic pistol, fed from a detachable magazine. Produced in large quantities. Uses standard .380 ACP rounds.","Semi-automatic pistol, fed from a detachable magazine. Produced in large quantities. Uses standard .380 ACP rounds.","Poloautomatická pistole. Munice dodávána odnímatelným zásobníkem. Masově vyráběna. Používá standardní munici .380 ACP.","Halbautomatische Pistole mit abnehmbarem Magazin, die in Massenfertigung hergestellt wird. Nutzt standardisierte .380 ACP-Munition.","Полуавтоматический пистолет со съемным магазином. Производится в больших количествах. Использует патроны калибра .380 ACP.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Produkowany masowo. Strzela standardową amunicją .380 ACP.","Semi-automatic pistol, fed from a detachable magazine. Produced in large quantities. Uses standard .380 ACP rounds.","Pistola semi-automatica con alimentazione mediante un caricatore estraibile. Prodotta in grandi quantità. Utilizza munizioni calibro .380 ACP standard.","Pistola semiautomática que usa un cargador desmontable. Se fabrica de manera industrial y usa proyectiles de .380 ACP estándar.","Un pistolet semi-automatique avec chargeur amovible de calibre .380 ACP. Arme très commune.","半自動式手槍，使用可拆卸式彈匣供彈。大批量生產的成品。使用標準的 .380 ACP 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。大量生産された。標準の .380 ACP 弾薬を使う。","Pistola semiautomática, alimentada a partir de um carregador destacável. Produzida em grandes quantidades. Usa munições padrão de .380 ACP.","采用可拆卸弹匣送弹的半自动手枪。批量生产。使用标准的 .380 ACP 子弹。",
"STR_cfgWeapons_real_MKII0","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian","Ruger MK II Amphibian",
"STR_cfgWeapons_real_MKII1","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Poloautomatická pistole s integrovaným tlumičem. Munice dodávána odnímatelným zásobníkem. Jedná se o nenápadnou a na krátkou vzdálenost smrtelnou zbraň. Používá munici .22 LR.","Halbautomatische Pistole mit integriertem Schalldämpfer und abnehmbarem Magazin. Leise und tödlich auf kurze Distanz. Nutzt .22 LR-Munition.","Полуавтоматический пистолет с интегрированным глушителем и съемным магазином. Скрытный и смертельно опасный на короткой дистанции. Использует патроны калибра .22 LR.","Półautomatyczny pistolet z wbudowanym tłumikiem i magazynkiem zewnętrznym. Cichy i zabójczy na krótkim dystansie. Strzela amunicją .22 LR.","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Pistola semi-automatica completamente silenziata e alimentata mediante un caricatore estraibile. Arma furtiva e letale a corto raggio. Utilizza munizioni calibro .22 LR.","Pistola semiautomática y completamente silenciada, que usa un cargador desmontable. Sigilosa y letal a corta distancia. Usa proyectiles .22 LR.","Pistolet semi-automatique avec silencieux, alimenté grâce à un magazine amovible. Discret et létal à courte portée. Utilise des balles de calibre .22 LR.","內部消音的半自動式手槍，以可拆卸的彈匣供彈。隱蔽性強，殺傷距離短。使用 .22 LR 子弹。","取り外し可能なマガジンから装填する、セミオート式消音ピストル。ステルス性と近距離においての高い殺傷能力がある。.22 LR 弾薬を使う。","Pistola semiautomática suprimida integralmente, alimentada por um carregador destacável. Furtiva e letal a curta distância. Usa munições calibre .22 LR.","从可拆卸弹匣送弹的整合式声音抑制半自动手枪。隐蔽性强，杀伤距离短。使用 .22 LR 子弹。",
"STR_cfgWeapons_real_Mosin91300","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Винтовка Мосина M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891","Mosin-Nagant M1891",
"STR_cfgWeapons_real_Mosin91301","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Opakovací puška na pět ran. Munice 7,62x54 mmR je dodávána vnitřním zásobníkem. Díky své odolnosti je použitelná i dnes.","5-Schuss-Repetiergewehr mit internem Magazin. Aufgrund seiner Strapazierfähigkeit auch heute noch nutzbar. Nutzt 7,62x54mmR-Munition.","Пятизарядная винтовка с продольно-скользящим затвором и внутренним магазином. Все еще используется в наши дни благодаря своей надежности. Использует патроны калибра 7,62x54 мм R.","Pięciostrzałowy, samopowtarzalny karabin z magazynkiem wewnętrznym. Używany ze względu na swoją solidność. Strzela amunicją 7,62x54 mmR.","Five shot bolt-action rifle, fed from internal magazine. Still usable today due to its sturdiness. Uses 7.62x54mmR rounds.","Fucile a otturatore girevole-scorrevole da cinque colpi con alimentazione mediante caricatore interno. È possibile usarlo ancora oggi grazie alla sua robustezza. Utilizza munizioni calibro 7.62x54 mm R.","Fusil de cerrojo de cinco tiros. Se alimenta de un cargador interno. Es tan férreo que sigue funcionando a día de hoy. Usa proyectiles de 7,62x54 mmR.","Un fusil à verrou de calibre 7,62x54 mm R avec chargeur fixe à cinq coups. Encore fiable de nos jours grâce à une conception à toute épreuve.","栓動步槍，可容納五發子彈，以內建彈匣供彈。非常可靠，到現在都還能用。使用 7.62x54mmR 子彈。","内部マガジンから装填する 5 発ボルトアクション式ライフル。頑丈なため今でも使用できる。 7.62x54mmR 弾薬を使う。","Fuzil de ferrolho de cinco tiros, alimentado por carregador interno. Ainda pode ser usado hoje devido à sua robustez. Usa munições calibre 7.62x54mmR.","从内部弹匣送弹的五发手动栓式步枪。由于其非常坚固，至今仍可使用。使用 7.62x54mmR 子弹。",
"STR_cfgWeapons_real_MP133Shotgun0","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133",
"STR_cfgWeapons_real_MP133Shotgun1","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Pumpovací brokovnice na šest ran. Munice dodávána vnitřním zásobníkem. Hodí se k lovu nebezpečné kořisti a používá jednotné střely a broky kalibru 12.","6-Schuss-Pump-Action-Schrotflinte mit internem Magazin. Gut für die Jagd auf gefährliche Beute. Nutzt 12ga-Buckshots und Slugs.","Шестизарядное помповое ружье с трубчатым магазином. Подходит для охоты на крупную дичь. Использует как дробь, так и пули 12 калибра.","Sześciostrzałowa strzelba powtarzalna z wewnętrznym magazynkiem. Przydatna przy polowaniach na niebezpieczne zwierzęta. Może strzelać breneką i śrutem kalibru 12.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Fucile a pompa da sei colpi con alimentazione mediante caricatore interno. Ottimo per andare a caccia di animali pericolosi. Utilizza sia pallettoni calibro 12, sia palle.","Escopeta de acción de bombeo, con un cargador interno. Ideal para cazar a presas peligrosas. Usa cartuchos y balas del calibre 12.","Un fusil à pompe à six coups, avec chargeur fixe. Parfait pour chasser le gros gibier. Cartouche calibre 12 à chevrotine ou à balle.","泵動式步槍，可容納六發子彈，以內建彈匣供彈。適合用來狩獵。使用 12ga 鹿彈與金屬彈。","内部マガジンから装填する、6 発ポンプアクション式散弾銃。危険な狩猟に向いている。12ga バックとスラッグの両方を使う。","Espingarda com ação de bombeamento de seis tiros alimentada a partir de carregador interno. Boa para caça de animais perigosos. Usa tanto balotes quanto chumbo grosso calibre 12ga.","从内部弹匣送弹的六发压动式霰弹枪。适合猎取危险的猎物。使用 12ga 铅弹和圆形子弹。",
"STR_cfgWeapons_real_MP5K0","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5","H&K MP5",
"STR_cfgWeapons_real_MP5K1","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem, velmi vysoká kadence. Používá munici 9x19 mm.","Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Sehr hohe Feuerrate. Nutzt 9x19mm-Munition.","Пистолет-пулемет с переводчиком режимов огня и съемным магазином. Обладает высоким темпом стрельбы. Использует патроны калибра 9x19 мм.","Pistolet maszynowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Bardzo szybkostrzelny. Strzela amunicją 9x19 mm.","Selective-fire submachine gun, fed from a detachable magazine. Very high rate of fire. Uses 9x19mm rounds.","Mitra con selettore di fuoco e alimentazione a caricatore estraibile. Tasso di fuoco molto elevato. Utilizza munizioni calibro 9x19 mm.","Metralleta de fuego selectivo, alimentada por un cargador desmontable. Cadencia de tiro muy elevada. Usa proyectiles de 9x19 mm.","Un pistolet mitrailleur à cadence élevée, avec différents modes de tir accueillant un chargeur amovible de calibre 9x19 mm.","可選射擊模式的機關槍，以可拆卸的彈匣供彈。射速極快。使用 9x19mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能の短機関銃。連射速度がとても高い、大口径。9x19mm 弾薬を使う。","Submetralhadora de fogo seletivo, alimentada por um carregador destacável. Taxa de tiro muito alta. Usa munições calibre 9x19mm.","从可拆卸弹匣送弹的选射冲锋枪。射速非常快。使用 9x19mm 子弹。",
"STR_cfgWeapons_real_P10","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1","Walther P1",
"STR_cfgWeapons_real_P11","An old semi-automatic pistol. After many years it’s still pretty capable of delivering bullets on target. Fed from a detachable magazine. Uses 9x19mm rounds.","An old semi-automatic pistol. After many years it’s still pretty capable of delivering bullets on target. Fed from a detachable magazine. Uses 9x19mm rounds.","Stará poloautomatická pistole. I po mnoha letech dokáže celkem přesně trefit cíl. Používá munici 9x19 mm v odnímatelném zásobníku.","Alte, halbautomatische Pistole mit abnehmbarem Magazin. Trotz ihres Alters kann sie Patronen noch verlässlich ans Ziel bringen. Nutzt 9x19mm-Munition.","Старый полуавтоматический пистолет со съемным магазином. По прошествии многих лет он все еще способен доставлять пули в цель. Использует патроны калибра 9x19 мм.","Stary pistolet półautomatyczny. Pomimo swoich lat wciąż potrafi posłać kule do celu. Korzysta z zewnętrznego magazynka. Strzela amunicją 9x19 mm.","An old semi-automatic pistol. After many years it’s still pretty capable of delivering bullets on target. Fed from a detachable magazine. Uses 9x19mm rounds.","Vecchia pistola semiautomatica con alimentazione a caricatore estraibile. Nonostante gli anni, è ancora un’arma su cui fare affidamento. Utilizza munizioni calibro 9x19 mm.","Una pistola semiautomática antigua. Aunque ya tiene sus años, sigue haciendo que las balas den en el blanco. Emplea un cargador desmontable con proyectiles de 9x19 mm.","Un vieux pistolet semi-automatique de calibre 9x19 mm avec un chargeur amovible. Même après toutes ces années, ses balles font encore mouche.","半自動式手槍，雖然老舊，仍能準確命中目標。以可拆卸的彈匣供彈。使用 9x19mm 子彈。","古いセミオート式ピストル。年季の入った武器だが、標的に弾丸を撃ち込む機能は未だに健在だ。着脱式マガジンから装填する。9x19mm 弾薬を使う。","Uma velha Pistola semiautomática. Depois de muitos anos, ainda consegue disparar balas bem no alvo. Alimentada a partir de um carregador destacável. Usa munições calibre 9x19mm.","一把陈旧的半自动手枪；虽然有些年头了，但仍然能够将子弹打到目标上。手枪采用可拆卸弹匣供弹，使用 9x19 毫米子弹。",
"STR_cfgWeapons_real_PP190","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon","ПП-19 Бизон","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon","PP-19 Bizon",
